conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,latitude,longitude,detected_country
1895345579611521443,Fri Feb 28 05:29:34 +0000 2025,65,Hari kerja terakhir karyawan Sritex... #IndonesiaGelap #KaburAjaDulu #DanantaraKonspirasiJahat https://t.co/f9072ER9YK,1895345579611521443,https://pbs.twimg.com/ext_tw_video_thumb/1895345323041501184/pu/img/wAIIDJ8uY2puYW0W.jpg,,in,Jakarta Selatan,3,24,19,https://x.com/RickyKardjono/status/1895345579611521443,941458748,RickyKardjono,-6.28381815,106.80486325728526,Indonesia
1895312943539200303,Fri Feb 28 03:19:53 +0000 2025,157,Teriak di medsos #KaburAjaDulu . Faktanya Yaman keparat ini bisa hidup seenak udelnya disini.,1895312943539200303,,,in,"DKI Jakarta, Indonesia",11,116,29,https://x.com/Franken_blues/status/1895312943539200303,1301242545888849921,Franken_blues,-6.1754049,106.827168,Indonesia
1895066745599336483,Thu Feb 27 11:01:35 +0000 2025,17884,Barusan banget buka website Imigrasi New Zealand ngecekin syarat visa buat liburan. Landing page langsung ada pengumuman kalau yg mau jadi guru SD di NZ bisa dapat pathway jadi residen. Mana tau ada sobat #KaburAjaDulu yg butuh info ini yekan...,1895066745599336483,,,in,"Brisbane, Queensland",389,219,3759,https://x.com/AmirahWahdi/status/1895066745599336483,68827009,AmirahWahdi,-27.4689682,153.0234991,Australia
1894505797213983148,Tue Feb 25 21:52:34 +0000 2025,214,maaf gabisa ikutan trend #KaburAjaDulu soalnya indonesia seseru itu https://t.co/oUY3Ok5cz7,1894505797213983148,https://pbs.twimg.com/amplify_video_thumb/1894505489888890880/img/U7z9YnKnaxrybRvD.jpg,,in,"Tangerang, Indonesia",0,197,5,https://x.com/nellesta12/status/1894505797213983148,2734530816,nellesta12,-6.1761924,106.6382161,Indonesia
1894370121050984507,Tue Feb 25 12:53:27 +0000 2025,409,Sekarang giliran nganter si Adek #KaburAjaDulu lagi. Nyusul kakaknya yg kemarin sudah duluan berangkat. Karena double degree UI-UQ dia dapat visa kerja pasca studi sarjana. Saya dorong dia untuk cari pengalaman di sana. Sebelum nanti bikin perusahaan sendiri. https://t.co/VW8MMIzB0Q,1894370121050984507,https://pbs.twimg.com/ext_tw_video_thumb/1894370015614291968/pu/img/DE52SnIYbXOwpAr7.jpg,,in,"Jakarta Selatan, DKI Jakarta",4,20,26,https://x.com/ismailfahmi/status/1894370121050984507,34075325,ismailfahmi,-6.28381815,106.80486325728526,Indonesia
1894189760861925646,Tue Feb 25 00:56:45 +0000 2025,409,Nganter Kakak #KaburAjaDulu lanjutin studinya. Alhamdulillah dapat Honours in Psychology program 1 tahun full time setelah bachelor. Go and pursue your dreams Kakaak! https://t.co/BawwGqcCp2,1894189760861925646,https://pbs.twimg.com/ext_tw_video_thumb/1894189586563145728/pu/img/8I1SIQJ4WP8tgyGz.jpg,,in,"Jakarta Selatan, DKI Jakarta",3,14,14,https://x.com/ismailfahmi/status/1894189760861925646,34075325,ismailfahmi,-6.28381815,106.80486325728526,Indonesia
1893964067511099461,Mon Feb 24 09:59:56 +0000 2025,227,Duta Besar Jepang Menyambut baik trend tagar #KaburAjaDulu dapat lampu ijo nih https://t.co/r8wpQvnaL4,1893964067511099461,https://pbs.twimg.com/ext_tw_video_thumb/1893963880079966208/pu/img/1KMtmJSubHeMpASh.jpg,,in,Bdg,0,226,2,https://x.com/dimasdimm_/status/1893964067511099461,1212075417466621952,dimasdimm_,35.0,63.75,افغانستان
1893931207953350687,Mon Feb 24 07:49:22 +0000 2025,536,Foto kemarin sore. POV versi Nordic untuk yg pengen #KaburAjaDulu Semoga Tuhan mengabulkan secepatnya. Amin https://t.co/5lIdLLQZWL,1893931207953350687,https://pbs.twimg.com/media/GkiYY60WUAAm0Ho.jpg,,in,"Tromsø, Norway",8,33,105,https://x.com/rykarlsen/status/1893931207953350687,165094284,rykarlsen,69.6516345,18.9558585,Norge
1893914172406042845,Mon Feb 24 06:41:40 +0000 2025,22,galau hari terakhir sebelum #KaburAjaDulu https://t.co/uEpmiVmRO4,1893914172406042845,https://pbs.twimg.com/amplify_video_thumb/1893914053225205760/img/LfrtusxYyfO-oIKW.jpg,,in,"Warsaw, Poland",1,24,0,https://x.com/imdinoz/status/1893914172406042845,1544130046159269888,imdinoz,52.2337172,21.071432235636493,Polska
1893858887675113630,Mon Feb 24 03:01:59 +0000 2025,91,Yang mau #KaburAjaDulu monggo melamar jadi dosen di ANU ,1893858887675113630,,,in,"Melbourne, Victoria",1,17,17,https://x.com/na_dirs/status/1893858887675113630,3895489933,na_dirs,-37.8142454,144.9631732,Australia
1893854383533658471,Mon Feb 24 02:44:05 +0000 2025,1750,Cimut lagi siap-siap #KaburAjaDulu https://t.co/1QASXxMrWF,1893854383533658471,https://pbs.twimg.com/media/GkhShP3WEAAgO34.jpg,,in,Jakarta Capital Region,5,21,121,https://x.com/ceritadungimut/status/1893854383533658471,1533380464311799808,ceritadungimut,-6.1754049,106.827168,Indonesia
1893525037371580677,Sun Feb 23 04:55:23 +0000 2025,635,Alhamdulillah akhirnya satu lagi milestone kedua kakak adik ini terlalui. No cumlaude no problem. Di rumah saya jadi minoritas sekarang. 1 ITB vs 3 UI. Setelah ini mereka akan #KaburAjaDulu lagi. Mumpung ada opportunity. ️️ https://t.co/AyQ3CxakrY,1893525037371580677,https://pbs.twimg.com/media/Gkcm_EXXgAAKOl1.jpg,,in,"Jakarta Selatan, DKI Jakarta",8,45,33,https://x.com/ismailfahmi/status/1893525037371580677,34075325,ismailfahmi,-6.28381815,106.80486325728526,Indonesia
1893450722588664240,Sun Feb 23 00:00:05 +0000 2025,15619,(Thread) Selamat pagi teman2. Memenuhi janji dan menyambung serial tweet #KaburAjaDulu kemarin ttg kita butuh lebih banyak orang Indonesia yg berkiprah di luar negeri izinkan kali ini saya ingin diskusi sedikit ttg diaspora &amp; crab mentality. Jadi begini...,1893450722588664240,,,in,Indonesia,145,102,3245,https://x.com/aniesbaswedan/status/1893450722588664240,110312278,aniesbaswedan,-2.4833826,117.8902853,Indonesia
1893250079051354135,Sat Feb 22 10:42:48 +0000 2025,329,Nggak semua polisi itu jelek kok #KaburAjaDulu #sukatani https://t.co/tElDUkXxzb,1893250079051354135,https://pbs.twimg.com/amplify_video_thumb/1893249987322028032/img/rvaYRr85CsFARsw2.jpg,,in,"Ishikawa-ken, Japan",10,71,94,https://x.com/kanankiriwow/status/1893250079051354135,203451263,kanankiriwow,36.9890574,136.8162839,日本
1893186427145298265,Sat Feb 22 06:29:52 +0000 2025,716,3 Langkah #KaburAjaDulu buat kamu yang mau berkarir ke Luar Negeri biar cepet kaya! 1. Kerja di Luar Negeri &amp; dapet Gaji Gede 2. Uangnya ditabung 3. Buka bisnis deh di Indonesia Hayo siapa yang punya dream plan kaya gini?,1893186427145298265,,,in,"DKI Jakarta, Indonesia",4,544,30,https://x.com/UJunami/status/1893186427145298265,1376555310,UJunami,-6.1754049,106.827168,Indonesia
1893112570548310381,Sat Feb 22 01:36:23 +0000 2025,99,Makanya beli aipon 11 kak biar ada 0 5 nya.. #KaburAjaDulu #salamrispekampemaghrib #gupronbahasasemut https://t.co/5hyuN5UZM0,1893112570548310381,https://pbs.twimg.com/media/GkWv2AOXQAASzL2.jpg,,in,"Bandung Wetan, Indonesia",0,85,1,https://x.com/anakrajadubai/status/1893112570548310381,540703755,anakrajadubai,-6.9051357499999995,107.6166565844473,Indonesia
1893105943325626482,Sat Feb 22 01:10:03 +0000 2025,584,ya jelas banyak yang khawatir sebab penguasa memandang gerakan sosial rakyat hanya sebatas gerakan tagar padahal tagar berupa ajakan untuk bertindak cek aja #kaburajadulu #KamiBersamaSukatani #indoneiagelap hingga #AdiliJokowi adalah call to action bukan cuma sekedar tagar!,1893105943325626482,,,in,Indonesia,3,66,210,https://x.com/satriohendri/status/1893105943325626482,102938290,satriohendri,-2.4833826,117.8902853,Indonesia
1892471870877814945,Thu Feb 20 07:10:29 +0000 2025,139,Bagi yang minat #KaburAjaDulu khususnya Jepang harus siap-siap dengan bencana alam dan cuaca ekstrem di negara ini. - A Threads -,1892471870877814945,,,in,"Klaten, Jawa Tengah",1,123,1,https://x.com/DndySaputra/status/1892471870877814945,3152945558,DndySaputra,-7.673238749999999,110.62847849276437,Indonesia
1892465890748485945,Thu Feb 20 06:46:43 +0000 2025,3245,Dari pada #KaburAjaDulu mending #Web3AjaDulu Nih list 6 website untuk kalian cari kerja di Web3 dengan gaji diatas UMR!! 1. https://t.co/OBMlwcaN1l 2. https://t.co/SXW7Fp8XvP 3. https://t.co/SH1KJ8eXzg 4. https://t.co/L8E8LBkj9S 5. https://t.co/o9ctY6kfCY 6. https://t.co/53l36UO8Gi,1892465890748485945,https://pbs.twimg.com/media/GkNjsU5bUAgtuoW.jpg,,in,Singapore,12,66,784,https://x.com/yunepto/status/1892465890748485945,1369844139915812866,yunepto,1.357107,103.8194992,Singapore
1892450011767861327,Thu Feb 20 05:43:37 +0000 2025,3125,Jogja memanggil 20 feb 2025 Siang ini #IndonesiaGelap #PeringatanDarurat #KaburAjaDulu #Ndasmu https://t.co/ON3yzExAQG,1892450011767861327,https://pbs.twimg.com/ext_tw_video_thumb/1892449928045334528/pu/img/KLJIOCGl4ivt9Nnb.jpg,,in,"Yogyakarta, Indonesia",15,42,1216,https://x.com/Posperajogja1/status/1892450011767861327,1271711554275176449,Posperajogja1,-7.8011998,110.3646608,Indonesia
1892440748156416067,Thu Feb 20 05:06:48 +0000 2025,543, Ternyata tinggi badan menjadi salah satu syarat mutlak menjadi PNS?? #KaburAjaDulu #Ngik https://t.co/Pjntxg7ehi,1892440748156416067,https://pbs.twimg.com/media/GkNM1ILWwAApphK.jpg,,in,Indonesia,23,199,203,https://x.com/HumorJonTampan/status/1892440748156416067,257090687,HumorJonTampan,-2.4833826,117.8902853,Indonesia
1892438600823820330,Thu Feb 20 04:58:16 +0000 2025,606,. . PABRIK SANKEN AJA #KaburAjaDulu .. Masa Anak-Anak Muda Berprestasi Kita Engga ??!! Peduli Amat sama Omongan Mentri-Mentri NIR EMPATI itu Gaeesss .. Perdulilah sama Masa Depanmu dan Kluargamu BERHITUNG dan PERSIAPAN !!! Kalau memungkinkan buat KABUR .. KABUR AJA !!! . . https://t.co/YhBC76rf15,1892438600823820330,https://pbs.twimg.com/media/GkNK3mnbUAE3w9G.jpg,,in,Bermuda Triangle,16,81,209,https://x.com/StefanAntonio__/status/1892438600823820330,1529491450605768704,StefanAntonio__,25.0000146,-71.0005203,
1892417733972938834,Thu Feb 20 03:35:21 +0000 2025,2887,#KaburAjaDulu dibilang gak nasionalis giliran gerak di dalam negeri dengan demo #IndonesiaGelap malah dibilang cuma cari eksistensi dan gak substansial membela rakyat miskin. Emang yah jadi kelas menengah ngehe di konoha tuh serba salah,1892417733972938834,,,in,Indonesia,16,46,1949,https://x.com/hrdbacot/status/1892417733972938834,501800437,hrdbacot,-2.4833826,117.8902853,Indonesia
1892360907642040655,Wed Feb 19 23:49:33 +0000 2025,42,Tren #KaburAjaDulu Gubernur Lemhanas Ingatkan Pentingnya Nilai Kebangsaan https://t.co/GQ7WbbRMIZ,1892360907642040655,,,in,Indonesia,13,80,18,https://x.com/geloraco/status/1892360907642040655,3319260420,geloraco,-2.4833826,117.8902853,Indonesia
1892258117720953030,Wed Feb 19 17:01:06 +0000 2025,119,Mau nandingin #KaburAjaDulu sama #/PergiMigranPulangJuragan https://t.co/JhgQL9cXnS,1892258117720953030,https://pbs.twimg.com/ext_tw_video_thumb/1892258066521083905/pu/img/La6T7ICCLEfj32zP.jpg,,in,Indonesia ,10,76,26,https://x.com/Mdy_Asmara1701/status/1892258117720953030,1334853481019056128,Mdy_Asmara1701,-2.4833826,117.8902853,Indonesia
1892256498694107600,Wed Feb 19 16:54:40 +0000 2025,11105,Sebuah hasil kerandoman hari ini hasil dari #KaburAjaDulu Ketemu Bang Jay (Idzes) dan ngobrol sore cukup lama sama beliau. Ramah banget beliau demiiiiii ganyangka seramah ini orangnya!!!! https://t.co/T0AdQ8zoDj,1892256498694107600,https://pbs.twimg.com/media/GkKlOxFXwAA3VGB.jpg,,in,"Veneto, Italia",272,198,973,https://x.com/inidebi/status/1892256498694107600,1063147708809076736,inidebi,45.6476663,11.8665254,Italia
1892193838749331684,Wed Feb 19 12:45:41 +0000 2025,701,Jadi kalau #kaburajadulu kita akan dianggap sebagai warga kelas Dua ? Pak apa seniman seperti saya (yang bukan influencer atau buzzer dgn jutaan followers) bisa dianugerahi penghargaan sipil tertinggi dari negara? Ini saya di negeri orang loh pak. https://t.co/3BPFielIUN,1892193838749331684,,,in,Spain,7,54,234,https://x.com/anandasukarlan/status/1892193838749331684,32504174,anandasukarlan,39.3260685,-4.8379791,España
1892187437654503701,Wed Feb 19 12:20:14 +0000 2025,25,Renungan akhir2 ini #KaburAjaDulu https://t.co/TnVFNRX62S,1892187437654503701,https://pbs.twimg.com/media/GkJmckMa4AEpKJ0.jpg,,in,"Kota Surabaya, Jawa Timur",0,18,1,https://x.com/ayamgeprek2023/status/1892187437654503701,1622917969985810432,ayamgeprek2023,-7.2459717,112.7378266,Indonesia
1892169944965493207,Wed Feb 19 11:10:44 +0000 2025,283,Mereka bikin kampanye Indonesia Gelap dalam berbagai bahasa. Nanti banyak negara justru memandang rendah WNI efeknya mau #KaburAjaDulu malah ditolak di banyak negara. Buntutnya nyalahin pemerintah lagi. Kan lawak banget.,1892169944965493207,,,in,"Bali, Indonesia",15,156,54,https://x.com/blisonny/status/1892169944965493207,1760157328291270657,blisonny,-8.2271303,115.1919203,Indonesia
1892147874563305670,Wed Feb 19 09:43:02 +0000 2025,71,Duh masa ada yg kirim gambar ini ktnya ternyata ini salah satu dari penggagas hesteg #KaburAjaDulu? Ngakak atuh saha ieu teh? ‍️‍️ https://t.co/kzu63jIqwT,1892147874563305670,https://pbs.twimg.com/media/GkJCdeWbQAAB9qB.jpg,,in,Indonesia,2,36,26,https://x.com/AdamVelcro/status/1892147874563305670,267795457,AdamVelcro,-2.4833826,117.8902853,Indonesia
1892127844693631240,Wed Feb 19 08:23:26 +0000 2025,368,Halo rekan2 semua Menyambut Ramadan 1446H saya mengadakan 20 sesi konsultasi CS &amp; Data Master/PhD Scholarship GRATIS Semoga bisa dihitung sedekah di bulan suci nanti. Terima kasih #KaburAjaDulu #Ramadan2025 #Ramadan1446 https://t.co/2hf46HMbaG,1892127844693631240,https://pbs.twimg.com/media/GkIvibyWIAAJ5xl.jpg,,in,Wageningen 🇳🇱,15,21,137,https://x.com/rmdn_hani/status/1892127844693631240,107827019,rmdn_hani,51.9663016,5.6662814,Nederland
1892021293987606833,Wed Feb 19 01:20:03 +0000 2025,3188,Tamparan keras buat saya pribadi dan para ayah yang membuat Indonesia terkenal sebagai fatherless country Saat kerja di Indo bisa make time sama anak hanya 2-3 jam sehari setelah #KaburAjaDulu bisa main sama anak 7-8 jam sehari Beberapa alasan: - Commute time singkat 20 https://t.co/skOPJaa8Z4,1892021293987606833,https://pbs.twimg.com/media/GkHPVGFaAAAhki6.jpg,,in,Jakarta,61,26,963,https://x.com/girikuncoro/status/1892021293987606833,136962040,girikuncoro,-6.1754049,106.827168,Indonesia
1891889397777281097,Tue Feb 18 16:35:56 +0000 2025,35,Viral #KaburAjaDulu Wamenaker: Mau Kabur Kabur Saja Kalau Perlu Jangan Balik Lagi https://t.co/sQ4OtfQQUz,1891889397777281097,,,in,Indonesia,8,51,18,https://x.com/geloraco/status/1891889397777281097,3319260420,geloraco,-2.4833826,117.8902853,Indonesia
1891850290019651687,Tue Feb 18 14:00:32 +0000 2025,24,#IndonesiaGelap #IndonesiaGelap2025 Mending kata aku mh #KaburAjaDulu #KaburDuluAja Indonesia tidak baik2 aja,1891850290019651687,,,in,"Sukabumi, Indonesia",0,20,1,https://x.com/putr1432/status/1891850290019651687,1691307345807282176,putr1432,-6.9199289,106.9265095,Indonesia
1891849795767013594,Tue Feb 18 13:58:34 +0000 2025,1145,Yang boros siapa yang dituduh korupsi Jokowi. Anak-anak abah mending #KaburAjaDulu https://t.co/4Nf1a2nSYT,1891849795767013594,https://pbs.twimg.com/media/GkEzWxjWIAAxUzN.jpg,,in,"Bali, Indonesia",70,408,212,https://x.com/blisonny/status/1891849795767013594,1760157328291270657,blisonny,-8.2271303,115.1919203,Indonesia
1891831302883864995,Tue Feb 18 12:45:05 +0000 2025,2720,#kaburajadulu tagar ini membuat Para Pembantu Presiden RI ke 8 Jenderal TNI AD Kopassus Purn Bpk Prabowo Subiyanto Kebakaran Jenggot sampai tidak malu mengatakan pergi saja dan tidak usah kembali lagi. Mereka dulu lupa ya Pak Prabowo pernah Kabur ke Luar Negeri Yordania dan,1891831302883864995,,,in,Jakarta,31,233,603,https://x.com/ruhutsitompul/status/1891831302883864995,219244515,ruhutsitompul,-6.1754049,106.827168,Indonesia
1891828386533695660,Tue Feb 18 12:33:30 +0000 2025,3338,Gaperlu #kaburajadulu untuk bisa gaji USD! Bisa kok kerja remote $$ dari Indo tanpa visa. Udah 40+ orang dapet kerja remote internasional lewat FullFind di Fortune500 produser Mr Beast dll. Gua buat video penjelasan GRATIS. Mau? RT &amp; Reply FF - gua dm (hrs follow) https://t.co/CKe4XubBmp,1891828386533695660,https://pbs.twimg.com/media/GkEf5ByWMAAvsUv.jpg,,in,"Jakarta Capital Region, Indonesia",38,903,1024,https://x.com/Calvin_0619/status/1891828386533695660,421013140,Calvin_0619,-6.1166622,106.7786307,Indonesia
1891812247422308471,Tue Feb 18 11:29:22 +0000 2025,362,Aspirasi #KaburAjaDulu sudah disampaikan ,1891812247422308471,,,in,Singapore,1,23,23,https://x.com/ainunnajib/status/1891812247422308471,35167068,ainunnajib,1.357107,103.8194992,Singapore
1891802162872696939,Tue Feb 18 10:49:18 +0000 2025,86,Bukan karena kurang cinta tanah air tapi karena kurang dihargai di negara sendiri yg jadi alasan #KaburAjaDulu https://t.co/oWL4cLET8K,1891802162872696939,https://pbs.twimg.com/amplify_video_thumb/1891802073534251008/img/VWiCvXtsqB_VMMca.jpg,,in,Anywhere,1,13,13,https://x.com/eleanorr234/status/1891802162872696939,185084341,eleanorr234,-14.1601396,33.8624178,Malawi
1891801760341151838,Tue Feb 18 10:47:42 +0000 2025,597,Stlh sy lulus S3 di Groningen mau balik kok belum ada kerjaan di Indonesia jadinya lanjut #KaburAjaDulu ke Amsterdam selama 5 tahun. Sambil kerja di sebuah start up saya mulai coding untuk implementasi ilmu yg saya dapat saat S3. Dari situ lahir baby Drone Emprit. https://t.co/eWnWWjcvqD,1891801760341151838,https://pbs.twimg.com/media/GkEGpRTaAAAQUcl.jpg,,in,"Jakarta Selatan, DKI Jakarta",4,18,90,https://x.com/ismailfahmi/status/1891801760341151838,34075325,ismailfahmi,-6.28381815,106.80486325728526,Indonesia
1891794726321340786,Tue Feb 18 10:19:45 +0000 2025,816,Kenapa pejabat bisa se-reckless ini ya kalau ngasih statement. Sebagian orang yang #KaburAjaDulu itu Pekerja Migran Indonesia lho. Penyumbang devisa terbesar kedua setelah sektor migas dengan kontribusi sekitar 160-170T per tahun. Nggak tahu diri banget komentar kayak gini.,1891794726321340786,,,in,"Yogyakarta, Indonesia",2,15,301,https://x.com/nabiylarisfa/status/1891794726321340786,37574084,nabiylarisfa,-7.8011998,110.3646608,Indonesia
1891783172486017209,Tue Feb 18 09:33:50 +0000 2025,14651,Kalau gak bisa #KaburAjaDulu Kita #LawanAjaDulu #IndonesiaGelap Sampai jumpa hari Kamis.,1891783172486017209,,,in,"Pondok Cina, Depok",36,53,5566,https://x.com/neohistoria_id/status/1891783172486017209,1495326248100589569,neohistoria_id,-6.3690593,106.8320844,Indonesia
1891759292702724236,Tue Feb 18 07:58:57 +0000 2025,430,Saya diminta bicara di acara ini. Biasanya saya tolak undangan karena pengin menepi dan menyepi. Kali ini kok sulit kabur dari topik #KaburAjaDulu https://t.co/C8IT0KnDcS,1891759292702724236,https://pbs.twimg.com/media/GkDhCs-aEAAtnc4.jpg,,in,Jakarta Indonesia,11,121,77,https://x.com/prastow/status/1891759292702724236,88581196,prastow,-6.1754049,106.827168,Indonesia
